idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
4323,관정이종환 장학 (2022년),관정이종환교육재단,장학금,인원 미정,"장학금지급 : 최대 2,200만원","대학생, 대학원생",2021. 10. 27. (수) ~ 2021. 11. 17. (수),"관정이종환교육재단에서 도전정신, 창조정신, 기여정신을 가진 대학생, 대학원생을 지원하는 장학금입니다."
4324,금샘문화재단 장학 (2021년),금샘문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2021. 10. 26. (화) ~ 2021. 11. 09. (화),금샘문화재단에서 어려운 생활환경 속에서도 꿈을 잃지 않고 학업에 전념하고 있는 잠재적 역량을 갖춘 인재들을 지원하는 장학금입니다.
4325,울산인재 장학 (2021년 하반기),울산인재평생교육진흥원,장학금,총 482명 선발,장학금지급 : 최대 200만원,대학생,2021. 10. 26. (화) ~ 2021. 11. 10. (수),"울산인재평생교육진흥원에서 울산시의 우수한 인재를 발굴, 육성하여 지역발전에 기여하고자 지원하는 장학금입니다."
4326,경기도 청년 복지포인트 (2021년 3차),경기도일자리재단,기타장학,"총 6,000명 선발",기타혜택 : 최대 120만원,"청년, 기타/일반",2021. 11. 01. (월) ~ 2021. 11. 15. (월),경기도일자리재단에서 청년 노동자의 처우개선과 복지향상을 위해 지원하는 사업입니다.
4327,강화군장학회 장학 (2021년),강화군장학회,장학금,총 140명 선발,장학금지급 : 최대 150만원,"고등학생, 대학생, 전문대생",2021. 10. 28. (목) ~ 2021. 11. 17. (수),강화군장학회에서 강화군 출신 총 140명에게 최대 150만원을 지원하는 장학금입니다
4328,강원도 특별 생활비 지원 장학 (2021년),강원인재육성재단,장학금,총 100명 선발,장학금지급 : 최대 50만원,대학생,2021. 10. 26. (화) ~ 2021. 11. 09. (화),강원인재육성재단에서 코로나19 등 발생된 재난으로 인해 어려움에 처한 도내 대학생들의 생활안정과 학업에 전념할 수 있는 환경을 제공하기 위해 지원하는 장학금입니다.
4329,아산시 학자금대출 이자지원 (2021년),아산시,대출지원,인원 미정,대출 지원 : 최대 --만원,"대학생, 전문대생",2021. 10. 05. (화) ~ 2021. 11. 19. (금),한국장학재단에서 학자금 대출을 받은 대학생들을 지원하는 아산시의 대출이자 지원사업입니다.
4330,당진시 학자금대출 이자지원 (2021년 하반기),당진시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 04. (월) ~ 2021. 11. 19. (금),한국장학재단에서 받은 학자금대출의 상환이 끝나지 않은 학생을 대상으로 대출이자를 지원하는 당진시의 지원사업입니다.
4331,남원시 학자금대출 이자지원 (2021년 2학기),남원시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 04. (월) ~ 2021. 11. 19. (금),남원시에서 한국장학재단에서 학자금대출을 받은 대학생에게 2016년 이후 대출금 중 21년 상반기 이자를 지원하는 사업입니다
4332,완주군 학자금대출 이자지원 (2021년 하반기),완주군,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2021. 10. 06. (수) ~ 2021. 11. 19. (금),완주군에서 한국장학재단에서 등록금 대출을 받은 완주군 지역 대학생들에게 대출이자를 지원하는 사업입니다
4333,정읍시 학자금대출 이자지원 (2021년),정읍시,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2021. 10. 04. (월) ~ 2021. 11. 19. (금),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 정읍시의 사업입니다.
4334,김제시 학자금대출 이자지원 (2021년 하반기),김제시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 04. (월) ~ 2021. 11. 19. (금),김제시에서 대학생들의 학자금 대출에 따른 이자부담을 덜어주기 위해 시행하는 이자지원 사업입니다.
4335,익산시 학자금대출 이자지원 (2021년 하반기),익산시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 27. (수) ~ 2021. 11. 19. (금),익산시에서 학자금 대출에 따른 교육비 부담을 덜어 드리기 위해 지원하는 장학사업입니다
4337,광양시 학자금대출 이자지원 (2021년 2학기),광양시,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2021. 10. 18. (월) ~ 2021. 11. 05. (금),한국장학재단에서 학자금을 대출받은 대학생들을 지원하는 광양시의 대출이자 지원사업입니다.
4338,공주시 한마음장학 (2021년),공주시한마음장학회,장학금,총 138명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생",2021. 10. 15. (금) ~ 2021. 11. 04. (목),공주시한마음장학회에서 코로나19로 어려움에 처한 우리 지역의 학생들이 안정된 분위기속 지속적인 학업을 할 수 있게 응원하는 장학사업입니다.
4340,전북 미래인재 특기장학 (2021년),전라북도인재평생교육진흥원,장학금,총 30명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생, 전문대생",2021. 11. 03. (수) ~ 2021. 11. 10. (수),"전라북도인재평생교육진흥원에서 예술, 체육, 기능분야 전국대회 수상자에게 최대 200만원을 지원하는 장학금입니다."
4341,남양주 장학 (2021년 하반기),남양주,장학금,총 66명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2021. 11. 01. (월) ~ 2021. 11. 12. (금),남양주에서 학업성적이 우수하거나 경제적 이유로 학업에 어려움을 겪고 있는 학생들을 지원하는 장학금입니다
4342,목포시 학자금 대출이자 지원 (2021년 2학기),목포시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 12. (화) ~ 2021. 11. 12. (금),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 목포시의 사업입니다.
4343,[부메랑 캠페인] 환경특파원 미스터부우 서포터즈 모집,뚝딱뚝딱 미스터 부우,"장학프로그램, 기타장학, 드림장학",총 50명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생, 대학원생, 청년, 기타/일반",2021. 11. 02. (화) ~ 2021. 11. 14. (일),"[부메랑 캠페인]은 환경특파원 미스터부우와 함께 생활 속에 환경 보호를 실천하는 활동입니다. 재활용, 텀블러 ·장바구니·다회용기 사용처럼 사소한 실천으로 내가 아낀 지구가 부메랑이 되어 돌아올 수 있도록, 환경특파원 미스터부우 서포터즈가 되어 환경 보호를 실천해주세요!"
4344,부산시 학자금대출 이자지원 (2021년),부산광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 11. 01. (월) ~ 2021. 11. 19. (금),한국장학재단에서 학자금 대출을 받은 대학생들 지원하는 부산시의 대출이자 지원사업입니다.
4345,울산시 학자금대출 이자지원 (2021년 2학기),울산광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 05. (화) ~ 2021. 11. 19. (금),한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 울산시의 사업입니다.
4346,경상북도 학자금대출 이자지원 (2021년),경상북도,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2021. 10. 06. (수) ~ 2021. 11. 19. (금),경상북도가 도내 대학생과 미취업자들의 경제적 부담을 완화하기 위해 한국장학재단 대출 학자금의 이자를 지원하는 사업니다.
4347,전기공사공제조합 장학 (2022년),전기공사공제조합장학회,장학금,총 00명 선발,장학금지급 : 최대 500만원,대학생,2021. 11. 08. (월) ~ 2021. 11. 19. (금),전기공사공제조합장학회에서 우리나라의 미래를 이끌어나갈 인재를 지원하는 장학금입니다.
4348,양산시 학자금대출 이자지원 (2021년),양산시,대출지원,인원 미정,대출 지원 : 최대 -만원,대학생,2021. 10. 18. (월) ~ 2021. 11. 22. (월),양산시가 대학생들의 학자금 대출에 따른 이자부담을 덜어주기 위해 지원하는 사업입니다
4349,광주광역시 학자금대출 이자지원 (2021년 2학기),광주광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2021. 10. 06. (수) ~ 2021. 11. 24. (수),광주광역시에서 학자금 대출에 따른 교육비 부담을 덜어 드리기 위해 지원하는 장학사업입니다
4350,인슐레이션 코리아 드림재단 장학 (2021년),인슐레이션코리아,장학금,총 30명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생",2021. 10. 28. (목) ~ 2021. 11. 30. (화),인슐레이션 코리아 승수언 대표가 설립한 드림재단에서 자신들의 꿈을 위해 열심히 공부하는 국내 학생들에게 용기를 북돋아주고자 장학금을 지급합니다.
4351,독일어학연수 섬머코스장학,국립국제교육원,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 대학원생",2021. 10. 29. (금) ~ 2021. 12. 01. (수),국립국제교육원에서 대학생과 대학원생의 독일 문화에 대한 지식을 심화하는 것을 목적으로 지원하는 장학금입니다
4352,2022학년도 하이트진로 장학금,하이트진로홀딩스,장학금,인원 미정,장학금지급 : 최대 100만원,대학생,2021. 11. 18. (목) ~ 2021. 12. 10. (금),"국내대표 주류 전문 기업 하이트진로 그룹의 지주회사인 하이트진로홀딩스㈜는 요식업주 및 휴·폐업 자영업자의 대학생 자녀에 대한 장학금 지원을 통해 국가와 사회에 이바지 할 우수한 인재를 양성하며, 학업에 전념할 수 있도록 하기 위해 ‘2022학년도 하이트진로 장학생’을 모집합니다."
4353,청년재단 찾아가는 상담 지원,온라인청년센터,기타장학,총 20명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2021. 10. 29. (금) ~ 2021. 11. 07. (일),온라인청년센터에서 만 18세 ~ 34세에 구직 중인 청년을 지원하는 사업입니다.
4354,진천군장학회 장학 (2021년),진천군장학회,장학금,총 991명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2021. 10. 29. (금) ~ 2021. 11. 12. (금),"진천군장학회에서 진천군 출신 중학생, 고등학생, 대학생 총 206명에게 최대 200만원을 지급하는 장학금입니다."
4355,신진예술인 창작준비금 지원 (2021년 3차),한국예술인복지재단,기타장학,총 270명 선발,기타혜택 : 최대 200만원,기타/일반,2021. 11. 09. (화) ~ 2021. 11. 12. (금),한국예술인복지재단에서 신진예술인들의 예술 창작활동 준비에 따른 지원을 통한 전문 문화예술 생태계로의 진입과 자생력 확보 등을 지원하는 사업입니다
4356,포스코케미칼 R&D산학장학 (2021년 하반기),포스코케미칼,"장학금, 연수/연구장학, 취업연계/산학장학",인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학원생,2021. 11. 01. (월) ~ 2021. 11. 05. (금),포스코케미칼에서 석사과정을 이수하고 있는 학생을 지원하는 산학 장학입니다.
4357,유영아 학업 장학(서울소재 대학생) (2021년),서울장학재단,장학금,총 12명 선발,장학금지급 : 최대 400만원,대학생,2021. 11. 08. (월) ~ 2021. 11. 16. (화),"서울장학재단에서 유영아 선생님의 기부금으로 운영되는 장학 사업으로, 학업 의지가 강한 대학생들에게 장학금을 지원하는 사업입니다."
4358,인제군 저소득주민자녀 장학 (2021년),인제군,장학금,인원 미정,장학금지급 : 최대 150만원,"중학생, 고등학생, 대학생",2021. 11. 04. (목) ~ 2021. 11. 19. (금),인제군에서 저소득층 교육비 지원을 통해 평등한 교육기회를 제공하고자 지원하는 장학금입니다
4359,진안군 학자금대출 이자지원 (2021년 2학기),진안군,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 04. (월) ~ 2021. 11. 19. (금),진안군에서 진안군 출신 대학생의 학업전념 환경조성 및 교육비 부담 경감을 위해서 지원하는 사업입니다
4360,통영시 학자금 대출이자 지원 (2021년),통영시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 10. 05. (화) ~ 2021. 11. 19. (금),통영시에서 균등한 교육기회를 제공하고 지역인재양성에 기여하기 위한 이자지원 사업입니다.
4361,LG유플러스 석/박사 산학장학 (2021년),LG유플러스,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학원생,2021. 10. 15. (금) ~ 2021. 11. 22. (월),학위 취득 예정 중인 대학원생을 대상으로 등록금과 소정의 학비 지원금을 지급하는 LG유플러스의 장학사업입니다.
4362,한독제석재단 의학·약학 장학,한독제석재단,"장학금, 연수/연구장학",총 4명 선발,"장학금지급 : 최대 -만원
연수/연구지원 : 최대 -만원","대학생, 기타/일반",2021. 11. 01. (월) ~ 2021. 12. 10. (금),한독제석재단에서 장학금 및 연구지원금 지원 대상자를 선발합니다
4363,직업계고 산업체 현장실습 지원금,한국장학재단,기타장학,인원 미정,기타혜택 : 최대 180만원,고등학생,2021. 09. 15. (수) ~ 2021. 12. 30. (목),한국장학재단에서 직업계고 산업체 채용약정형 현장실습 이수자를 위해 지원하는 사업입니다
4364,국민연금공단 전북 인재양성장학,국민연금공단,장학금,총 30명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2021. 11. 02. (화) ~ 2021. 11. 12. (금),국민연금공단에서 전북지역 내 대학생(대학원생)에게 사회적 변화 실천에 대한 동기부여를 통해 지역문제 해결에 필요한 인재를 육성하기 위해 지원하는 장학금입니다
4366,EY한영 한마음 수학멘토 장학 (2021년),아이들과미래재단,"장학금, 장학프로그램",총 20명 선발,"장학금지급 : 최대 100만원
활동 지원 : 최대 -만원",대학생,2021. 10. 25. (월) ~ 2021. 11. 17. (수),"아이들의 사고력 향상, 수학 흥미도 향상을 위한 교육에 함께할 대학생 멘토를 모집합니다."
4367,대전시 학자금대출 신용회복 지원 (2021년),대전광역시,"대출지원, 기타장학",인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2021. 11. 05. (금) ~ 2021. 11. 19. (금),대전광역시에서 학자금 대출 장기연체로 인하여 신용도 판단정보 등록된 청년들의 신용회복지원을 위해 시행하는 사업입니다
4368,숲과나눔 인재양성 장학 (2022년),숲과나눔,장학금,총 00명 선발,장학금지급 : 최대 400만원,"대학원생, 기타/일반","(1차) 2021. 10. 29. (금) ~ 2021. 11. 19. (금)
(2차) 2021. 11. 08. (월) ~ 2021. 11. 26. (금)","숲과 나눔에서 환경·안전·보건 분야에 이바지할 미래 인재를 선발, 지원하는 사업입니다."
4369,백산장학회 장학 (2021년),백산장학재단,장학금,총 00명 선발,장학금지급 : 최대 -만원,"고등학생, 대학생, 대학원생",2021. 11. 08. (월) ~ 2021. 11. 23. (화),백산장학회에서 대학생·대학입학 예정자 및 대학원생을 지원하는 장학금입니다.
4370,한국서부발전 위피스쿨 장학 (2021년),한국서부발전,장학프로그램,총 8명 선발,"장학금지급 : 최대 150만원
활동 지원 : 최대 -만원","대학생, 전문대생",2021. 11. 08. (월) ~ 2021. 11. 21. (일),한국서부발전과 한국대학사회봉사협의회(대사협)에서 서부 위피스쿨을 진행할 대학생 멘토를 모집하는 장학 사업입니다.
4371,승가원 복지실습장학 (2021년),승가원,장학금,총 10명 선발,장학금지급 : 최대 100만원,"대학생, 대학원생",2021. 11. 08. (월) ~ 2021. 11. 25. (목),승가원에서 2021년도 동계방학 중 복지실습을 할 대학생과 대학원생을 모집합니다.
4372,경산시 학자금대출 이자지원 (2021년),경산시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2021. 11. 08. (월) ~ 2021. 11. 26. (금),경산시에서 대학생들의 학자금 대출에 따른 이자부담을 덜어주기 위해 지원하는 사업입니다
4373,산청군 향토장학 (2021년 하반기),산청군향토장학회,장학금,총 120명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생",2021. 11. 04. (목) ~ 2021. 12. 03. (금),산청군향토장학회에서 산청군 출신 초·중·고·대학생 총 262명에게 최대 300만원을 지원하는 장학금입니다.
4374,박신양 FUN 장학 (2022년),박신양FUN장학회,장학금,총 00명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2021. 10. 21. (목) ~ 2021. 12. 31. (금),"박신양FUN장학회에서 연기, 극작장학생을 지원하고 창작지원금도 지원하는 사업입니다."
4375,제주더큰내일 청년드림 제주행,제주더큰내일센터,기타장학,총 25명 선발,"활동 지원 : 최대 -만원
기타혜택 : 최대 -만원","청년, 기타/일반",2021. 11. 08. (월) ~ 2021. 11. 19. (금),청년의 가능성을 제주의 내일로 연결하는 제주더큰내일센터에서 제주도외 청년을 대상으로 지원하는 사업입니다
4376,시안장학회 장학 (2021년),시안장학회,장학금,총 4명 선발,장학금지급 : 최대 700만원,중학생,2021. 11. 15. (월) ~ 2021. 11. 24. (수),시안장학회에서 미래의 인재양성을 목표로 다양한 분야에 도전하고 있는 재능이 뛰어난 학생을 지원하는 장학금입니다.
4377,삼양이건 미래인재장학 (2021년),삼양이건장학재단,장학금,총 15명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생",2021. 11. 10. (수) ~ 2021. 11. 26. (금),삼양이건장학재단에서 우리 삶에 반드시 필요한 미래의 식품산업을 이끌어갈 우수인재들을 지원하는 장학금입니다
4378,경기도 청년기본소득 (2021년 4분기),경기도,기타장학,인원 미정,기타혜택 : 최대 -만원,"청년, 기타/일반",2021. 11. 01. (월) ~ 2021. 11. 30. (화),"경기도에서 행복추구, 삶의 질 향상, 건강 수준 향상 등 청년의 사회적 기본권 보장을 지원하기 위해 시행하는 사업입니다."
4379,부산시 수영구 장학 (2022년),수영구장학재단,장학금,총 50명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생",2021. 12. 01. (수) ~ 2022. 01. 21. (금),"수영구장학재단에서 부산시 수영구 출신 중학생, 고등학생, 대학생을 지원하는 장학금입니다."
4380,봉화군 희망복지장학 (2021년),봉화군,장학금,총 14명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2021. 11. 15. (월) ~ 2021. 11. 26. (금),"봉화군에서 저속득층의 교육비 부담 경감을 통한 안정적인 학업 유지로 우수인재 육성 및 건전한 사회인으로 성장할 수 있는 희망을 심어주고, 가정의 자립기반 조성을 위해 지원하는 장학금입니다"
4381,삼일문화재단 박사과정 장학 (2021-2년),3·1문화재단,장학금,총 00명 선발,장학금지급 : 최대 500만원,"대학원생, 기타/일반",2021. 11. 08. (월) ~ 2021. 12. 03. (금),삼일문화재단에서 박사과정생 대상으로 최대 500만원 내 등록금 전액을 지원하는 장학금입니다.
4382,KC 미래 이공계 장학 (2022년),KC미래장학재단,장학금,인원 미정,장학금지급 : 최대 18만원,대학생,2021. 11. 15. (월) ~ 2022. 01. 07. (금),우수 이공계 학생들이 안정적으로 학업을 유지하여 핵심인재로 성장할 수 있도록 장학금을 지급하는 재단법인 KC미래장학재단의 장학사업입니다.
4383,경기도 학교밖 청소년 교육재난지원금,경기도,기타장학,인원 미정,기타혜택 : 최대 5만원,기타/일반,2021. 11. 15. (월) ~ 2021. 12. 10. (금),경기도에서 사회적 재난 상황으로 인해 학교 밖 청소년에게 교육재난지원금을 지원하는 사업입니다
4384,KB 자립준비청년 지원,KB국민은행,기타장학,총 100명 선발,"활동 지원 : 최대 -만원
기타혜택 : 최대 -만원","청년, 기타/일반",2021. 11. 08. (월) ~ 2021. 11. 24. (수),2022년 아동복지시설 퇴소예정인 만 18세 ~ 만 24세에 해당하는 전국 자립준비청년을 지원하는 사업입니다
4385,춘천효자복지관 희망나눔장학,춘천효자종합사회복지관,장학금,인원 미정,장학금지급 : 최대 30만원,"중학생, 고등학생",2021. 11. 03. (수) ~ 2021. 12. 01. (수),춘천효자종합사회복지관에서 2021년 연말연시를 맞이하여 지역사회 내 우수 장학생을 선발하는 사업입니다
4386,보호종료청년 스타트키트 지원,한국아동청소년그룹홈협의회,기타장학,총 350명 선발,기타혜택 : 최대 100만원,"청년, 기타/일반",2021. 11. 22. (월) ~ 2021. 12. 05. (일),한국아동청소년그룹홈협의회에서 2021년 1월 ~ 2022년 3월 이내 아동복지시설 및 가정위탁 보호종료 or 예정자를 지원하는 사업입니다
4387,청년재단 찾아가는 상담 지원 (2021년 3차),온라인청년센터,기타장학,총 20명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2021. 11. 11. (목) ~ 2021. 12. 05. (일),온라인청년센터에서 만 18세 ~ 34세에 구직 중인 청년을 지원하는 사업입니다.
4388,한국고등교육재단 리더양성장학,한국고등교육재단,장학금,인원 미정,"장학금지급 : 최대 500만원
활동 지원 : 최대 -만원",대학생,2021. 11. 17. (수) ~ 2021. 12. 20. (월),한국고등교육재단에서 전국 4년제 대학생 총 20명을 지원하는 장학금입니다
4389,한국고등교육재단 동아시아인재양성장학,한국고등교육재단,장학금,총 10명 선발,"장학금지급 : 최대 800만원
활동 지원 : 최대 -만원",대학생,2021. 11. 17. (수) ~ 2021. 12. 20. (월),"한국고등교육재단에서 동아시아의 역사와 현재, 미래에 대해 흥미와 관심이 있는 학부생을 위해 지원하는 사업입니다"
4392,강릉시 긴급생활안정지원금,강릉시,기타장학,인원 미정,기타혜택 : 최대 100만원,기타/일반,"(1차) 2021. 11. 01. (월) ~ 2021. 11. 26. (금)
(2차) 2021. 11. 08. (월) ~ 2021. 11. 26. (금)","강릉시에서 강릉시 출신 소상공인, 농업인, 어업인, 축산인, 임업인, 운수종사자, 예술인 등을 지원하는 사업입니다"
4393,유성구 소상공인 특별지원금,유성구,기타장학,인원 미정,기타혜택 : 최대 50만원,기타/일반,2021. 11. 15. (월) ~ 2021. 11. 30. (화),유성구에서 소상공인을 위로하고 희망을 주기위해 지원하는 사업입니다
4394,목포장학재단 희망장학,목포장학재단,장학금,총 60명 선발,장학금지급 : 최대 50만원,"중학생, 고등학생",2021. 11. 22. (월) ~ 2021. 12. 03. (금),"목포장학재단에서 미래 목포발전을 이끌어 나갈 우수한 인재를 발굴, 육성하고자 지원하는 장학금입니다"
4395,포천시 대학생 주거복지 장학 (2021년),포천시교육재단,기타장학,총 150명 선발,장학금지급 : 최대 120만원,"대학생, 전문대생",2021. 11. 25. (목) ~ 2021. 12. 08. (수),포천시교육재단에서 안정적인 주거환경 제공을 통하여 오롯이 학업에 정진할 수 있는 기회를 제공하고자 지원하는 사업입니다
4396,국가장학금 (2022년 1학기),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2021. 11. 24. (수) ~ 2021. 12. 30. (목),국가장학금은 대학생들의 등록금 부담 완화를 위해 소득과 재산이 일정 수준 이하인 대학생 중 성적 기준을 충족한 자에게 국가가 지원하는 소득연계형 장학금입니다.
4397,국가근로장학 (2022년 1학기),한국장학재단,장학금,인원 미정,근로비/수당 : 최대 -만원,"대학생, 전문대생",2021. 11. 24. (수) ~ 2021. 12. 30. (목),한국장학재단에서 시행하는 안정적인 학업여건 조성과 취업역량 제고를 위한 장학금입니다
4398,헝가리 정부초청 장학 (2022-2023년),국립국제교육원,장학금,인원 미정,"장학금지급 : 최대 -만원
거주 지원 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 대학원생",2021. 11. 18. (목) ~ 2022. 01. 15. (토),헝가리 외교통상부와 템푸스 공익 재단이 전세계 여러 나라의 학생들의 헝가리 유학에 도움을 주기 위해 공동으로 운영하는 헝가리 정부 장학금입니다.
4399,경기도 청년면접수당 (2021년 3차),경기도,기타장학,인원 미정,기타혜택 : 최대 30만원,"청년, 기타/일반",2021. 12. 01. (수) ~ 2021. 12. 17. (금),경기도에서 청년의 적극적 구직활동을 지원하는 사업입니다
4400,운해장학재단 장학,운해장학재단,장학금,총 000명 선발,장학금지급 : 최대 800만원,대학생,2021. 11. 30. (화) ~ 2021. 12. 17. (금),"운해장학재단에서 대학교 1,2,3학년에게 최대 연 800만원을 지원하는 장학금입니다"
4401,대학·대학원생 OK생활장학 (2022년 1학기),OK배정장학재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 대학원생",2021. 11. 29. (월) ~ 2021. 12. 29. (수),OK배정장학재단에서 미래의 글로벌 리더를 꿈꾸는 대학생 및 대학원생을 응원하는 장학금입니다.
4402,부산시 중구장학회 장학 (2022년),중구장학회,장학금,총 35명 선발,장학금지급 : 최대 500만원,"고등학생, 대학생",2021. 12. 06. (월) ~ 2022. 01. 07. (금),중구장학회에서 생활이 어렵거나 학업성적이 우수한 학생들을 지원하는 장학금입니다.
4403,KEC 과학교육재단 산학 장학,KEC과학교육재단,장학금,인원 미정,"장학금지급 : 최대 600만원
활동 지원 : 최대 -만원",대학생,2021. 11. 30. (화) ~ 2021. 12. 14. (화),KEC과학교육재단에서 공학계열 및 자연계열의 대학생을 지원하는 장학금입니다
4404,김제시 체육꿈나무 격려장학 (2021년),김제사랑장학재단,장학금,인원 미정,장학금지급 : 최대 50만원,"초등학생, 중학생, 고등학생",2021. 12. 08. (수) ~ 2021. 12. 10. (금),"김제사랑장학재단에서 김제시 출신 초등학생, 중학생, 고등학생에게 최대 50만원을 지원하는 장학금입니다"
4405,우양재단 저소득 대학생 학업지원 장학,우양재단,장학금,총 100명 선발,기타혜택 : 최대 30만원,대학생,2021. 12. 01. (수) ~ 2021. 12. 10. (금),우양재단에서 저소득 장학생을 위해 학업 비용을 지원해주는 장학사업입니다
4406,에몬스 슬로건 공모 장학,에몬스장학회,장학금,총 -명 선발,장학금지급 : 최대 500만원,대학생,2021. 11. 23. (화) ~ 2021. 12. 17. (금),에몬스장학회에서 꿈과 재능을 가진 대학생을 지원하는 장학금입니다
4407,현대자동차 대학생 교육봉사단 멘토장학 (2021년),현대자동차그룹,장학프로그램,총 400명 선발,"장학금지급 : 최대 300만원
활동 지원 : 최대 -만원",대학생,2021. 12. 01. (수) ~ 2021. 12. 19. (일),"현대자동차에서 지역사회 청소년에게 배움의 기회를 제공하고, 대학생을 포용인재로 육성하기 위해 지원하는 사업입니다."
4408,사우디아라비아 정부초청 장학,국립국제교육원,장학금,인원 미정,기타혜택 : 최대 -만원,기타/일반,2021. 12. 01. (수) ~ 2021. 12. 31. (금),국립국제교육원에서 사우디아바리아 정부초청 장학생을 선발합니다
4409,DB 장학생 봉사단 동하리 8기,DB김준기문화재단,"장학금, 장학프로그램",인원 미정,"장학금지급 : 최대 -만원
활동 지원 : 최대 -만원",대학생,2021. 12. 06. (월) ~ 2022. 01. 07. (금),DB김준기문화재단에서 우리 사회를 이끌어갈 창의적이고 실력 있는 인재를 양성하기 위해 대학생들을 지원하는 장학금입니다.
4410,신한장학재단 일반장학 (2022년),신한장학재단,장학금,총 100명 선발,장학금지급 : 최대 -만원,"중학생, 고등학생, 대학생",2021. 12. 10. (금) ~ 2022. 01. 07. (금),"신한장학재단에서 생활의 어려움으로 인해 학업에 전념하지 못하는 인재를 발굴하여, 이 들이 국가의 동량으로 성장해 나갈 수 있도록 지원하는 장학금입니다."
4411,부산·울산·경남 협성장학 (2022년),협성문화재단,장학금,총 20명 선발,"장학금지급 : 최대 -만원
활동 지원 : 최대 -만원",대학생,2021. 12. 10. (금) ~ 2022. 01. 10. (월),부산·울산·경남 지역 출신 대학생에게 장학금을 지원하는 협성문화재단의 장학사업입니다.
4412,건설근로자 자녀 협성장학 (2022년),협성문화재단,장학금,총 20명 선발,"장학금지급 : 최대 000만원
기타혜택 : 최대 50만원",대학생,2021. 12. 20. (월) ~ 2022. 01. 10. (월),건설근로자의 대학생 자녀에게 장학금을 지원하는 협성문화재단의 장학사업입니다.
4414,MBK 대학입학 장학 (2022년도 15기),MBK장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 01. 03. (월) ~ 2022. 01. 12. (수),MBK장학재단에서 2021년도 대학 입학예정자로서 어려운 생활 및 학업 환경 속에서도 우수한 성적과 미래의 지도자로서 잠재력을 가지고 있는 학생을 지원하는 장학금입니다.
