인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
80637,[과학기술정보통신부 주최] 대학(원)생 나노기술 공모전 '나노영챌린지 2022',나노기술연구협의회,비영리단체/협회/재단,600만 원,과학/공학,대학생,22.2.28 ~ 22.4.3,기타
80692,2022 제5회 경남고성 국제한글디카시 공모전,디카시연구소,기타,350만 원,문학/시나리오,대상 제한 없음,22.2.21 ~ 22.3.20,기타
80693,블라이스 로맨스 정식연재 공모전,스토리위즈,중소기업,2000만 원,문학/시나리오,대상 제한 없음,22.3.4 ~ 22.4.5,기타
80694,제1회 서귀포 칠십리 문학상 공모전,서귀포 문인협회,비영리단체/협회/재단,1000만 원,문학/시나리오,대상 제한 없음,22.3.10 ~ 22.4.30,기타
80695,2022년 제주시 정책 아이디어 공모전,제주시,공공기관/공기업,440만 원,기획/아이디어,대상 제한 없음,22.2.3 ~ 22.6.30,기타
80697,2022년 참빛아이디어 공개오디션,김제시,공공기관/공기업,330만 원,기획/아이디어,"대학생, 직장인/일반인",22.2.12 ~ 22.3.18,기타
80698,2022 학생 철도 창의 작품전,(사)한국철도학회,비영리단체/협회/재단,570만 원,기획/아이디어,대학생,22.5.2 ~ 22.5.31,상장 수여
80724,Business Case Competition,"홍콩 비즈니스스쿨, 아시아 케이스 리서치 센터",공공기관/공기업,1000만 원,학술,대학생,22.3.2 ~ 22.3.20,"입사시 가산점, 상장 수여"
80760,제18회 대한민국청소년박람회 「나는 대한민국 청소년이다」의 청소년 강연자 100명 모집,한국청소년활동진흥원,공공기관/공기업,270만 원,기획/아이디어,"청소년, 대학생",22.3.4 ~ 22.4.17,기타
80764,제2회 IBK 학술논문 연구지원사업 공모,IBK경제연구소,공공기관/공기업,800만 원,학술,"대학생, 직장인/일반인",22.3.4 ~ 22.3.20,상장 수여
80765,2022 서울 정동 역사재생 주민공모사업,서울정동사회적협동조합,공공기관/공기업,2000만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.24 ~ 22.3.25,기타
